# TOPAS Version: 4.0
# Parameter File: GBScanningNozzle.txt
# Results for scorer: DoseOnRTGrid
# Filtered by: OnlyIncludeParticlesNamed = 1 "proton"
# Scored in component: WaterBox
# X in 1 bin  of 68 cm
# Y in 1 bin  of 80 cm
# Z in 100 bins of 0.7 cm
# DoseToMedium ( Gy ) : Mean   
LX,LY,LZ,DoseToWater (Gy)
0, 0, 0, 0
0, 0, 1, 0
0, 0, 2, 0
0, 0, 3, 0
0, 0, 4, 0
0, 0, 5, 0
0, 0, 6, 0
0, 0, 7, 0
0, 0, 8, 0
0, 0, 9, 0
0, 0, 10, 0
0, 0, 11, 0
0, 0, 12, 0
0, 0, 13, 0
0, 0, 14, 0
0, 0, 15, 0
0, 0, 16, 4.425812950025023e-15
0, 0, 17, 1.272447742591642e-17
0, 0, 18, 1.341088420120056e-15
0, 0, 19, 5.825205829245383e-15
0, 0, 20, 5.02907372272225e-17
0, 0, 21, 0
0, 0, 22, 0
0, 0, 23, 0
0, 0, 24, 0
0, 0, 25, 0
0, 0, 26, 0
0, 0, 27, 0
0, 0, 28, 0
0, 0, 29, 0
0, 0, 30, 0
0, 0, 31, 0
0, 0, 32, 0
0, 0, 33, 0
0, 0, 34, 0
0, 0, 35, 0
0, 0, 36, 0
0, 0, 37, 0
0, 0, 38, 1.045712718924478e-16
0, 0, 39, 9.31785996027871e-15
0, 0, 40, 9.473075110383432e-16
0, 0, 41, 0
0, 0, 42, 0
0, 0, 43, 0
0, 0, 44, 3.780682919491724e-18
0, 0, 45, 0
0, 0, 46, 9.983349340796795e-16
0, 0, 47, 0
0, 0, 48, 0
0, 0, 49, 0
0, 0, 50, 0
0, 0, 51, 0
0, 0, 52, 0
0, 0, 53, 0
0, 0, 54, 0
0, 0, 55, 0
0, 0, 56, 0
0, 0, 57, 0
0, 0, 58, 0
0, 0, 59, 0
0, 0, 60, 0
0, 0, 61, 0
0, 0, 62, 5.78220574945958e-15
0, 0, 63, 6.640470096646404e-15
0, 0, 64, 0
0, 0, 65, 0
0, 0, 66, 3.710166542039755e-15
0, 0, 67, 1.074781120646112e-14
0, 0, 68, 0
0, 0, 69, 1.560141451982756e-15
0, 0, 70, 6.98867852758427e-16
0, 0, 71, 3.051893092463639e-16
0, 0, 72, 0
0, 0, 73, 0
0, 0, 74, 1.03586924231234e-15
0, 0, 75, 4.590524915100167e-17
0, 0, 76, 1.710843211973149e-15
0, 0, 77, 3.19957487590294e-17
0, 0, 78, 8.63459782463332e-17
0, 0, 79, 6.217620675156964e-15
0, 0, 80, 6.365281815996541e-14
0, 0, 81, 2.185029757588903e-13
0, 0, 82, 4.136584607825662e-13
0, 0, 83, 4.066806974749537e-13
0, 0, 84, 3.244405214349738e-13
0, 0, 85, 2.589735616361094e-13
0, 0, 86, 2.390429823601033e-13
0, 0, 87, 2.233768556089206e-13
0, 0, 88, 2.141386899281976e-13
0, 0, 89, 1.908008091667193e-13
0, 0, 90, 1.848521041841462e-13
0, 0, 91, 1.690267984571287e-13
0, 0, 92, 1.754013600674108e-13
0, 0, 93, 1.831945615668211e-13
0, 0, 94, 1.602374350295151e-13
0, 0, 95, 1.72662339915789e-13
0, 0, 96, 1.576054791039728e-13
0, 0, 97, 1.465124596747238e-13
0, 0, 98, 1.545613098746604e-13
0, 0, 99, 1.394095717528109e-13
