# TOPAS Version: 4.0
# Parameter File: GBScanningNozzle.txt
# Results for scorer: DoseOnRTGrid
# Filtered by: OnlyIncludeParticlesNamed = 1 "proton"
# Scored in component: WaterBox
# X in 1 bin  of 68 cm
# Y in 1 bin  of 80 cm
# Z in 100 bins of 0.7 cm
# DoseToMedium ( Gy ) : Mean   
LX,LY,LZ,DoseToWater (Gy)
0, 0, 0, 0
0, 0, 1, 0
0, 0, 2, 0
0, 0, 3, 0
0, 0, 4, 0
0, 0, 5, 0
0, 0, 6, 0
0, 0, 7, 0
0, 0, 8, 0
0, 0, 9, 0
0, 0, 10, 0
0, 0, 11, 0
0, 0, 12, 0
0, 0, 13, 0
0, 0, 14, 0
0, 0, 15, 0
0, 0, 16, 0
0, 0, 17, 0
0, 0, 18, 0
0, 0, 19, 0
0, 0, 20, 0
0, 0, 21, 0
0, 0, 22, 0
0, 0, 23, 1.238260408948876e-15
0, 0, 24, 0
0, 0, 25, 0
0, 0, 26, 0
0, 0, 27, 0
0, 0, 28, 0
0, 0, 29, 0
0, 0, 30, 0
0, 0, 31, 0
0, 0, 32, 1.653333664008466e-17
0, 0, 33, 4.804759726065727e-15
0, 0, 34, 7.630377025382738e-15
0, 0, 35, 5.258264562324725e-15
0, 0, 36, 4.360569692914861e-15
0, 0, 37, 3.975468016894046e-15
0, 0, 38, 5.329493828075516e-15
0, 0, 39, 4.504070049004647e-15
0, 0, 40, 2.969448235927151e-15
0, 0, 41, 2.913739779048462e-15
0, 0, 42, 2.712416765612559e-15
0, 0, 43, 4.412000674012041e-15
0, 0, 44, 2.349182529375471e-15
0, 0, 45, 1.303647608069942e-16
0, 0, 46, 4.320598417360529e-15
0, 0, 47, 0
0, 0, 48, 2.922003061282418e-15
0, 0, 49, 7.088154108496089e-15
0, 0, 50, 2.744055921301764e-15
0, 0, 51, 0
0, 0, 52, 0
0, 0, 53, 0
0, 0, 54, 0
0, 0, 55, 0
0, 0, 56, 9.934708191159806e-18
0, 0, 57, 5.960605500783898e-15
0, 0, 58, 2.166016662139744e-16
0, 0, 59, 3.988599810802627e-16
0, 0, 60, 9.816902590508202e-15
0, 0, 61, 2.74261663130921e-14
0, 0, 62, 1.128223409448723e-13
0, 0, 63, 3.97408407639474e-13
0, 0, 64, 4.592659920043413e-13
0, 0, 65, 3.485584392550065e-13
0, 0, 66, 3.146129063356802e-13
0, 0, 67, 2.691158802735188e-13
0, 0, 68, 2.395372775893403e-13
0, 0, 69, 2.387865936687502e-13
0, 0, 70, 2.198383834560672e-13
0, 0, 71, 1.943718121056115e-13
0, 0, 72, 1.891170812617276e-13
0, 0, 73, 1.752053379553801e-13
0, 0, 74, 1.994716906812078e-13
0, 0, 75, 1.790058925120188e-13
0, 0, 76, 1.769521896126236e-13
0, 0, 77, 1.82016767638494e-13
0, 0, 78, 1.690835819430597e-13
0, 0, 79, 1.748320807131238e-13
0, 0, 80, 1.85973224616116e-13
0, 0, 81, 1.690707144843156e-13
0, 0, 82, 1.812040076883616e-13
0, 0, 83, 1.6209442810076e-13
0, 0, 84, 1.682006828984002e-13
0, 0, 85, 1.720660548300452e-13
0, 0, 86, 1.546636931571078e-13
0, 0, 87, 1.588058068727318e-13
0, 0, 88, 1.457186723876152e-13
0, 0, 89, 1.432045339775381e-13
0, 0, 90, 1.466904608902805e-13
0, 0, 91, 1.71795290155127e-13
0, 0, 92, 1.431300185374432e-13
0, 0, 93, 1.664564105670197e-13
0, 0, 94, 1.502001070614394e-13
0, 0, 95, 1.362861064219087e-13
0, 0, 96, 1.216280137249009e-13
0, 0, 97, 1.212261841438725e-13
0, 0, 98, 1.199153020490756e-13
0, 0, 99, 1.185020884871557e-13
